,Team_Id,Team_Name,Team_Short_Code,Matches,Wins,Highest_Score,Lowest_Score,Biggest_Win,Homeground
0,1,Kolkata Knight Riders,KKR,132,68,245/6,67,140,Eden Gardens
1,2,Royal Challengers Bangalore,RCB,139,70,263/5,49,144,M. Chinnaswamy
2,3,Chennai Super Kings,CSK,131,79,246/5,79,97,M.A. Chidambram Chepauk
3,4,Kings XI Punjab,KXIP,134,63,232/2,73,111,PCA Mohali
4,5,Rajasthan Royals,RR,118,63,223/5,58,105,Sawai Mansingh Stadium
5,6,Delhi Daredevils,DD,133,56,231/4,66,67,Feroz Shah Kotla
6,7,Mumbai Indians,MI,140,80,223/6,87,98,Wankhede
7,8,Deccan Chargers,DC,75,29,214/5,82,82,Rajiv Gandhi Stadium
8,9,Kochi Tuskers Kerala,KTK,14,6,184/2,74,17,Kochi Stadium
9,10,Pune Warriors,PW,46,12,192/3,99,38,MCA Gahunje
10,11,Sunrisers Hyderabad,SRH,62,34,209/3,96,85,Rajiv Gandhi Stadium
11,12,Rising Pune Supergiants,RPS,14,5,195/3,108,34,MCA Gahunje
12,13,Gujarat Lions,GL,16,9,208/7,104,7,Sardar Patel Stadium
