,Player_Id,Player_Name,Country
0,470,Asad Rauf,Pakistan
1,471,MR Benson,England
2,472,Aleem Dar,Pakistan
3,473,SJ Davis,England
4,474,BF Bowden,New Zealand
5,475,IL Howell,South Africa
6,476,DJ Harper,Australia
7,477,RE Koertzen,South Africa
8,478,BR Doctrove,West Indies
9,479,AV Jayaprakash,India
10,480,BG Jerling,South Africa
11,481,M Erasmus,South Africa
12,482,HDPK Dharmasena,Sri Lanka
13,483,S Asnani,India
14,484,GAV Baxter,New Zealand
15,485,SS Hazare,India
16,486,K Hariharan,India
17,487,SL Shastri,India
18,488,SK Tarapore,India
19,489,S Ravi,India
20,490,SJA Taufel,Australia
21,491,S Das,India
22,492,AM Saheba,India
23,493,PR Reiffel,Australia
24,494,JD Cloete,South Africa
25,495,AK Chaudhary,India
26,496,VA Kulkarni,India
27,497,BNJ Oxenford,Australia
28,498,CK Nandan,India
29,499,C Shamshuddin,India
30,500,NJ Llong,England
31,501,RK Illingworth,England
32,502,RM Deshpande,India
33,503,K Srinath,India
34,504,SD Fry,Australia
35,505,CB Gaffaney,New Zealand
36,506,PG Pathak,India
37,507,Nitin Menon,India
38,508,K Bharatan,India
39,509,AY Dandekar,India
40,510,KN Ananthapadmanabhan,India
41,511,A Nand Kishore,India
42,512,GA Pratapkumar,India
43,513,RB Tiffin,Zimbabwea
44,514,I Shivram,India
45,515,SD Ranade,India
46,516,TH Wijewardene,Sri Lanka
47,517,AL Hill,New Zealand
48,518,RJ Tucker,Australia
49,519,Subroto Das,India
50,520,K Srinivasan,India
51,521,VK Sharma,India
